gt_class,pred_class,total_pixels,num_images,avg_per_image
Bareland,Rangeland,5116595,314,16294.9
Bareland,Developed,31043645,343,90506.3
Bareland,Road,446055,174,2563.5
Bareland,Tree,661056,263,2513.5
Bareland,Water,2300557,175,13146.0
Bareland,Agriculture,2186265,118,18527.7
Bareland,Building,143149,115,1244.8
Rangeland,Bareland,2062214,225,9165.4
Rangeland,Developed,70548467,2096,33658.6
Rangeland,Road,4528561,1957,2314.0
Rangeland,Tree,77843333,2109,36910.1
Rangeland,Water,6145613,973,6316.1
Rangeland,Agriculture,31287742,1335,23436.5
Rangeland,Building,10358572,1987,5213.2
Developed,Bareland,2377966,176,13511.2
Developed,Rangeland,24549835,2089,11752.0
Developed,Road,29159588,2027,14385.6
Developed,Tree,10397127,2035,5109.2
Developed,Water,2176060,665,3272.3
Developed,Agriculture,5550452,982,5652.2
Developed,Building,52430887,2020,25955.9
Road,Bareland,92397,46,2008.6
Road,Rangeland,4567111,1789,2552.9
Road,Developed,49958902,2015,24793.5
Road,Tree,2753478,1802,1528.0
Road,Water,683801,380,1799.5
Road,Agriculture,1466254,573,2558.9
Road,Building,2910467,1390,2093.9
Tree,Bareland,395295,198,1996.4
Tree,Rangeland,56381086,2117,26632.5
Tree,Developed,19142800,2067,9261.2
Tree,Road,1926084,1890,1019.1
Tree,Water,4000190,832,4807.9
Tree,Agriculture,5291956,1123,4712.3
Tree,Building,3310054,1911,1732.1
Water,Bareland,190696,102,1869.6
Water,Rangeland,8421233,947,8892.5
Water,Developed,10364035,964,10751.1
Water,Road,1422875,456,3120.3
Water,Tree,2022770,820,2466.8
Water,Agriculture,3674275,308,11929.5
Water,Building,989215,592,1671.0
Agriculture,Bareland,1130063,41,27562.5
Agriculture,Rangeland,40788884,954,42755.6
Agriculture,Developed,13772298,862,15977.1
Agriculture,Road,1273249,643,1980.2
Agriculture,Tree,8813248,912,9663.6
Agriculture,Water,2774015,332,8355.5
Agriculture,Building,1280032,558,2294.0
Building,Bareland,17155,30,571.8
Building,Rangeland,3731343,1929,1934.3
Building,Developed,63028957,2084,30244.2
Building,Road,1419969,1268,1119.8
Building,Tree,3041262,1883,1615.1
Building,Water,317420,367,864.9
Building,Agriculture,2449511,546,4486.3
