filename,split,total_diff_pixels,Bareland_fn,Bareland_fp,Rangeland_fn,Rangeland_fp,Developed_fn,Developed_fp,Road_fn,Road_fp,Tree_fn,Tree_fp,Water_fn,Water_fp,Agriculture_fn,Agriculture_fp,Building_fn,Building_fp
svaneti_60.tif,train,120766,0,0,67899,42863,3826,41259,0,0,22419,13565,0,3613,26622,19432,0,34
kagera_31.tif,train,386063,0,0,146457,164567,31198,23842,0,2761,66865,162604,0,22,137113,23020,4430,9247
ica_35.tif,train,311658,0,0,8182,1543,95307,196823,31505,42074,8326,3742,65400,0,0,0,102938,67476
lohur_24.tif,train,215828,0,0,52661,72162,65628,69619,31386,11069,32465,6046,8067,5096,12297,46322,13324,5514
daressalaam_72.tif,train,234171,0,124,45531,110083,87836,39674,16493,7405,47555,49171,0,0,19447,4457,17309,23257
tonga_32.tif,train,356658,0,285,282363,46734,7593,91020,3866,1799,53397,131686,8,71807,0,6404,9431,6923
lodzkie_9.tif,train,278435,0,0,37147,68642,2391,6794,2364,5178,14599,169239,0,54,218076,25574,3858,2954
western_24.tif,train,768244,104573,47110,468577,11818,808,406325,7586,1412,3936,257931,182764,42081,0,0,0,1567
aachen_56.tif,train,354034,0,0,204118,37151,59020,146325,33657,18816,22728,58453,0,0,0,87,34511,93202
ica_12.tif,train,334951,218474,0,10518,5998,32431,293778,9757,9972,13055,9275,0,0,7128,0,43588,15928
malopolskie_19.tif,train,313275,0,0,113512,26611,8728,190613,1037,7022,17656,5494,0,1189,167599,50675,4743,31671
mahe_31.tif,train,239890,0,4853,114071,30463,67251,97257,25865,33118,15344,62203,0,838,0,0,17359,11158
accra_57.tif,train,440740,0,0,184191,173480,625,21893,4469,209,28000,23229,223455,13011,0,208906,0,12
paris_52.tif,train,497228,0,0,285771,46845,97769,188090,21651,21399,60386,26883,1580,0,0,10060,30071,203951
kampala_5.tif,train,258059,0,0,49269,55803,78543,86711,21174,19676,65294,21902,2884,22592,0,790,40895,50585
shanghai_25.tif,train,416039,0,0,0,195952,261723,147219,58219,12716,3647,240,0,54945,0,39,92450,4928
vegas_44.tif,train,370896,0,0,36907,153639,186674,125240,134015,76941,7110,10142,0,0,0,0,6190,4934
duesseldorf_55.tif,train,343354,0,0,195868,46392,46865,108459,33888,16243,40969,70236,638,0,10546,58952,14580,43072
kagera_57.tif,train,347752,0,0,228028,73460,30847,6652,8883,8207,26779,244179,0,2792,51193,5569,2022,6893
bielefeld_43.tif,train,345130,0,0,172723,77417,74933,47067,10283,24042,70747,150789,2012,0,0,0,14432,45815
paris_11.tif,train,468272,0,0,202721,39696,148475,138950,46475,20401,40129,52405,0,24,0,53256,30472,163540
mahe_12.tif,train,341480,6200,0,53764,20353,8560,292688,4800,6500,10728,12272,251094,5474,0,2907,6334,1286
chisinau_56.tif,train,203576,0,0,23886,1889,70251,112685,30494,23364,25735,24976,537,0,0,0,52673,40662
