feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Bareland_noise,-0.0419,0.1620,-0.0711,-0.0570,0.1073,0.1667,-0.0022,0.1939,-0.1999,-0.1511
Bareland_iou,-0.0306,0.1334,-0.0322,-0.0706,0.0232,0.4341,-0.0615,-0.2463,0.1841,0.0603
Bareland_prec,-0.0473,0.1648,-0.0574,-0.0801,0.0742,0.3240,-0.0661,-0.1011,0.0285,-0.1036
Bareland_rec,-0.0313,0.1396,-0.0313,-0.0631,0.0091,0.4366,-0.0725,-0.2473,0.2035,0.0927
Bareland_gt_ratio,-0.0266,0.2448,-0.0216,0.0032,-0.0096,0.2223,-0.0182,0.0691,-0.1027,-0.1105
Bareland_pred_ratio,-0.0232,0.1338,-0.0036,-0.0113,-0.0426,0.2807,-0.0591,-0.1460,0.1961,0.2178
Rangeland_noise,0.1194,0.0835,0.1018,-0.2648,-0.1619,0.0055,-0.0779,0.0493,-0.0811,-0.2239
Rangeland_iou,-0.0986,-0.1991,-0.1714,0.2643,0.1802,0.0868,0.0826,-0.0480,-0.0053,-0.0131
Rangeland_prec,-0.0012,-0.1806,-0.1673,0.1274,0.0531,0.1278,0.0485,-0.0456,-0.0512,-0.3521
Rangeland_rec,-0.1427,-0.1623,-0.1152,0.2520,0.1955,0.0305,0.0588,-0.0169,0.0121,0.2025
Rangeland_gt_ratio,-0.1277,-0.0914,-0.1551,0.3061,0.0343,0.1207,0.0246,0.1114,-0.0239,-0.2173
Rangeland_pred_ratio,-0.1605,-0.0693,-0.1210,0.3384,0.0952,0.0561,0.0313,0.1037,0.0218,0.0837
Developed_noise,-0.1473,-0.1013,-0.0030,0.0363,-0.0988,-0.0696,-0.3105,0.0010,0.1697,0.0968
Developed_iou,0.2292,-0.0577,0.0591,-0.0526,0.1921,0.0334,0.3190,-0.1070,-0.0077,0.0337
Developed_prec,0.1769,-0.1123,0.0813,-0.0330,0.1606,-0.0090,0.2195,-0.1579,0.0939,0.0739
Developed_rec,0.2103,0.0461,0.0231,-0.0501,0.1874,0.1146,0.2765,0.0784,-0.1173,-0.0359
Developed_gt_ratio,0.2580,0.0891,0.0234,-0.0165,0.0392,-0.0205,0.2158,-0.0937,-0.0003,0.0763
Developed_pred_ratio,0.2373,0.1932,0.0050,-0.0199,0.0327,0.0468,0.2212,0.0364,-0.1422,-0.0268
Road_noise,-0.0308,0.1375,-0.0427,-0.0223,-0.0217,-0.0216,0.2060,0.2440,0.2049,0.1592
Road_iou,0.1756,-0.1741,0.0211,0.0423,0.1372,0.1065,-0.2715,-0.0690,-0.2622,0.0100
Road_prec,0.1539,-0.0944,-0.0166,0.0580,0.1220,0.1151,-0.1653,0.0404,-0.1425,0.1184
Road_rec,0.1564,-0.1813,0.0516,0.0256,0.1395,0.0995,-0.2619,-0.0861,-0.2512,-0.0255
Road_gt_ratio,0.2369,0.0019,-0.0295,0.0396,-0.0127,-0.0410,-0.1637,-0.0452,-0.1429,0.1783
Road_pred_ratio,0.2292,-0.0419,-0.0214,0.0385,-0.0038,-0.0333,-0.2200,-0.1076,-0.1938,0.1228
Tree_noise,0.0375,0.2009,0.0891,0.2584,0.1608,-0.1153,-0.1044,-0.0064,0.0879,0.2006
Tree_iou,-0.0589,-0.2601,-0.0931,-0.2651,-0.1289,0.0843,0.0878,-0.0570,-0.1072,0.1423
Tree_prec,-0.0610,-0.1607,-0.0478,-0.1264,-0.0347,0.0143,-0.0038,-0.0797,-0.0448,0.4655
Tree_rec,-0.0432,-0.2399,-0.0858,-0.2719,-0.1487,0.1212,0.0769,0.0253,-0.1027,-0.0861
Tree_gt_ratio,-0.1576,-0.1604,-0.1449,-0.0985,-0.2399,0.0331,0.0637,0.0246,-0.0576,0.1463
Tree_pred_ratio,-0.1479,-0.1756,-0.1399,-0.1460,-0.2628,0.0706,0.0801,0.0462,-0.0681,-0.0286
Water_noise,0.0057,-0.0312,0.0265,-0.0344,0.0226,0.1249,-0.0870,0.1964,-0.2083,0.1538
Water_iou,-0.0795,0.0319,-0.2273,-0.2280,0.2957,-0.1384,-0.0757,-0.0300,0.0598,-0.0117
Water_prec,-0.0891,0.0480,-0.2012,-0.1992,0.2578,-0.1001,-0.0766,0.0566,-0.0072,0.0147
Water_rec,-0.0796,0.0380,-0.2090,-0.2224,0.2923,-0.1165,-0.0693,-0.0141,0.0495,-0.0229
Water_gt_ratio,-0.0830,0.1066,-0.2170,-0.1831,0.2084,-0.1464,-0.0612,-0.0374,0.0170,-0.0316
Water_pred_ratio,-0.0801,0.1069,-0.1982,-0.1777,0.2048,-0.1621,-0.0512,-0.0636,0.0597,-0.0173
Agriculture_noise,-0.0593,0.0095,0.0476,-0.0397,0.0010,0.0915,0.1498,0.3045,-0.0335,0.2468
Agriculture_iou,-0.1742,-0.0720,0.3307,-0.0805,0.1211,0.0126,0.0061,-0.0561,-0.0251,-0.0463
Agriculture_prec,-0.1689,-0.0465,0.3107,-0.0895,0.0935,0.0355,0.0554,0.0740,-0.0387,0.0912
Agriculture_rec,-0.1781,-0.0714,0.3145,-0.0661,0.1190,0.0175,0.0026,-0.0384,-0.0331,-0.0710
Agriculture_gt_ratio,-0.1645,-0.0114,0.3478,-0.0401,0.1035,-0.0471,-0.0492,-0.0619,0.0136,-0.0210
Agriculture_pred_ratio,-0.1611,-0.0155,0.3361,-0.0246,0.1108,-0.0624,-0.0775,-0.1117,0.0178,-0.1121
Building_noise,-0.0828,0.1498,-0.0054,0.0459,-0.0231,-0.1193,0.1881,-0.1293,-0.2299,0.2048
Building_iou,0.1562,-0.2158,0.0548,-0.0509,0.0960,0.0908,-0.0449,0.2403,0.3183,-0.0595
Building_prec,0.1347,-0.1350,0.0602,-0.0132,0.0901,0.0608,0.0689,0.2245,0.2504,0.0476
Building_rec,0.1487,-0.2143,0.0576,-0.0526,0.0822,0.0840,-0.1072,0.2559,0.2897,-0.0856
Building_gt_ratio,0.2492,-0.0076,-0.0259,-0.0587,-0.0884,-0.0940,-0.1310,0.0352,0.1658,0.0486
Building_pred_ratio,0.2440,-0.0201,-0.0279,-0.0589,-0.0939,-0.0886,-0.1758,0.0443,0.1808,0.0300
overall_noise,0.0103,0.2636,-0.0327,0.0791,-0.1112,0.0822,-0.1168,0.3334,-0.0997,0.0038
edge_error,-0.0993,0.2285,0.0498,-0.0100,-0.0573,-0.0327,-0.2018,0.1858,-0.0353,0.1020
class_diversity,-0.0624,-0.0413,0.0775,-0.1631,0.2672,0.1911,-0.0404,0.3387,-0.1748,0.1529
