filename,split,region,noise_ratio,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
svaneti_60.tif,train,svaneti,0.1208,-5.7812,0.3580,-1.4311,5.5360,-0.3287,-0.6440,2.3019,-2.6604,-0.6471,-1.7233
kagera_31.tif,train,kagera,0.3736,-4.5718,-0.8253,0.8465,0.4219,-2.8388,-0.5684,-0.1068,0.8073,2.1824,-0.9848
ica_35.tif,train,ica,0.2972,4.3983,0.4923,0.7410,-1.6207,-1.2526,-0.7469,-1.7639,-0.0857,-0.0909,0.6164
lohur_24.tif,train,lohur,0.2058,-1.8074,-1.6062,1.0545,0.3407,4.6564,-0.3024,0.3571,-0.3801,0.5216,0.5201
daressalaam_72.tif,train,daressalaam,0.2233,-0.6679,-3.1497,-0.6702,2.1695,0.9073,1.1454,1.1036,0.2767,0.3951,0.8488
tonga_32.tif,train,tonga,0.3401,0.7188,-0.7885,-1.9934,1.1769,2.3341,0.5499,1.4457,0.5371,0.5622,-2.1196
lodzkie_9.tif,train,lodzkie,0.2655,-1.5938,-1.7151,3.8810,0.0778,1.5334,0.4016,0.3682,-0.7750,-0.3298,-1.6574
western_24.tif,train,western,0.7414,-2.9744,7.9039,-2.9876,-0.6259,-1.4447,7.0961,-1.2812,-1.5789,-1.2064,-2.8975
aachen_56.tif,train,aachen,0.3376,1.5700,-0.2119,-0.9915,2.4740,-0.2851,-0.0503,-0.4005,-0.0386,0.7717,-1.6794
ica_12.tif,train,ica,0.3194,2.1890,2.6991,-0.4570,-1.6066,1.1063,3.8237,3.5605,-0.2250,-2.3628,-0.2364
malopolskie_19.tif,train,malopolskie,0.2988,-1.3965,-0.3865,4.0493,-0.9752,0.3728,0.2383,-1.6283,-0.9354,-2.1505,-1.0638
mahe_31.tif,train,mahe,0.2288,4.0028,-1.3668,-0.3314,0.9066,0.6941,0.5532,1.0495,-1.2853,-0.4193,-1.0424
accra_57.tif,train,accra,0.4203,-5.6835,1.3002,-3.7376,2.8469,-1.1137,-1.2360,-1.9475,-0.8293,-1.1538,-0.0489
paris_52.tif,train,paris,0.4742,1.6312,1.9082,-0.1519,3.6198,-0.0188,-0.4192,-3.4799,0.5736,-0.9296,-0.8912
kampala_5.tif,train,kampala,0.2461,2.5138,-0.8770,-0.8193,1.6715,1.7761,-0.0020,0.9543,-0.4917,0.7419,0.4526
shanghai_25.tif,train,shanghai,0.3968,2.9119,6.0874,1.2273,2.8037,0.0852,-2.9195,3.1134,-1.1960,1.7308,0.5607
vegas_44.tif,train,vegas,0.3537,3.9965,0.2392,0.1481,0.9117,-0.1698,-0.5998,-0.3772,-0.0707,0.9718,1.0920
