filename,split,region,noise_ratio,dominant_error,tsne_x,tsne_y
svaneti_60.tif,train,svaneti,0.1208,Tree,-22.3606,16.9401
kagera_31.tif,train,kagera,0.3736,Developed,-29.1927,4.2341
ica_35.tif,train,ica,0.2972,Water,33.2125,22.7917
lohur_24.tif,train,lohur,0.2058,Tree,-41.7629,-0.5738
daressalaam_72.tif,train,daressalaam,0.2233,Agriculture,-14.9587,-11.8362
tonga_32.tif,train,tonga,0.3401,Rangeland,3.8829,31.2475
lodzkie_9.tif,train,lodzkie,0.2655,Rangeland,-44.9607,-26.9659
western_24.tif,train,western,0.7414,Water,-18.5203,26.7218
aachen_56.tif,train,aachen,0.3376,Rangeland,19.1554,-7.1969
ica_12.tif,train,ica,0.3194,Agriculture,-16.1589,15.3321
malopolskie_19.tif,train,malopolskie,0.2988,Rangeland,-38.5896,-23.4413
mahe_31.tif,train,mahe,0.2288,Rangeland,34.9392,-6.3409
accra_57.tif,train,accra,0.4203,Developed,-25.0904,16.9611
paris_52.tif,train,paris,0.4742,Water,20.5497,-0.3687
kampala_5.tif,train,kampala,0.2461,Water,21.7374,9.5453
shanghai_25.tif,train,shanghai,0.3968,Tree,62.9407,-1.7308
vegas_44.tif,train,vegas,0.3537,Road,38.0596,3.9232
duesseldorf_55.tif,train,duesseldorf,0.3274,Water,-25.9325,-20.2891
kagera_57.tif,train,kagera,0.3316,Developed,-22.7443,-8.8596
bielefeld_43.tif,train,bielefeld,0.3291,Water,9.5518,9.5187
paris_11.tif,train,paris,0.4466,Rangeland,21.6519,-2.6165
mahe_12.tif,train,mahe,0.3279,Bareland,-12.1176,44.8029
chisinau_56.tif,train,chisinau,0.1941,Water,24.9333,20.9668
ulaanbaatar_43.tif,train,ulaanbaatar,0.4578,Bareland,5.1601,22.3316
lodzkie_17.tif,train,lodzkie,0.2820,Developed,-47.4789,-26.6545
kagera_30.tif,train,kagera,0.3861,Water,-22.1034,-14.3783
zachodniopomorskie_8.tif,train,zachodniopomorskie,0.0865,Road,-18.0510,48.3936
slaskie_36.tif,train,slaskie,0.1182,Developed,-2.5468,31.0460
santiago_41.tif,train,santiago,0.3409,Rangeland,45.8620,5.2224
lubuskie_5.tif,train,lubuskie,0.2205,Developed,-17.5358,5.6320
vienna_70.tif,train,vienna,0.2630,Rangeland,40.1173,-12.3765
tokyo_49.tif,train,tokyo,0.3134,Road,-1.3587,-39.5331
sechura_32.tif,train,sechura,0.4300,Bareland,7.2941,34.7621
kyoto_63.tif,train,kyoto,0.4087,Water,-5.1520,-35.3984
austin_43.tif,train,austin,0.3601,Water,7.7994,14.4668
lima_46.tif,train,lima,0.6085,Tree,-5.9118,16.3577
malopolskie_30.tif,train,malopolskie,0.2264,Water,-46.4386,-7.0079
wielkopolskie_22.tif,train,wielkopolskie,0.2151,Water,8.5733,29.2462
vienna_13.tif,train,vienna,0.1783,Rangeland,43.9754,-7.8607
monrovia_38.tif,train,monrovia,0.2950,Rangeland,47.7500,-13.9712
zanzibar_27.tif,train,zanzibar,0.2991,Developed,-28.8067,5.9175
muenster_7.tif,train,muenster,0.1687,Road,-41.0840,-14.8841
monrovia_22.tif,train,monrovia,0.2852,Water,-12.1135,31.4571
aachen_4.tif,train,aachen,0.2216,Bareland,13.0364,21.1158
zanzibar_130.tif,train,zanzibar,0.1582,Road,7.5089,-11.5854
dowa_10.tif,train,dowa,0.2229,Water,29.7323,23.4825
tokyo_70.tif,train,tokyo,0.4086,Water,-0.6533,-35.3966
muenster_5.tif,train,muenster,0.3118,Water,13.9000,9.2165
shanghai_29.tif,train,shanghai,0.3314,Tree,51.2447,15.7606
slaskie_17.tif,train,slaskie,0.0524,Building,-25.4803,9.9049
tyrolw_60.tif,train,tyrolw,0.1318,Rangeland,-29.7184,-30.8419
muenster_62.tif,train,muenster,0.1922,Water,-39.6408,-3.3535
ulaanbaatar_3.tif,train,ulaanbaatar,0.4019,Bareland,5.4186,22.7720
duesseldorf_11.tif,train,duesseldorf,0.3653,Rangeland,37.2106,-3.3621
kitsap_27.tif,train,kitsap,0.3218,Rangeland,38.3522,8.8606
ica_19.tif,train,ica,0.2599,Rangeland,6.6772,42.4535
christchurch_3.tif,train,christchurch,0.0436,Developed,6.7047,-4.3172
sechura_21.tif,train,sechura,0.3151,Rangeland,-22.9027,28.7656
lohur_5.tif,train,lohur,0.2460,Tree,-34.8247,-26.4118
baybay_66.tif,train,baybay,0.3222,Water,-16.4623,-24.0714
piura_31.tif,train,piura,0.2536,Water,26.0483,22.3632
shanghai_30.tif,train,shanghai,0.4349,Tree,14.1414,-13.7505
shanghai_32.tif,train,shanghai,0.4008,Water,17.5647,36.9576
mahe_40.tif,train,mahe,0.0889,Bareland,-11.2789,45.9327
tokyo_29.tif,train,tokyo,0.4560,Tree,41.7011,8.0257
chincha_5.tif,train,chincha,0.3189,Water,-11.9368,-38.8339
mahe_44.tif,train,mahe,0.2322,Bareland,9.8735,26.7491
abancay_22.tif,train,abancay,0.2756,Developed,41.0333,-8.1197
tokyo_17.tif,train,tokyo,0.3530,Road,-1.0801,-39.8514
malopolskie_33.tif,train,malopolskie,0.5176,Bareland,-45.4327,3.9907
ulaanbaatar_36.tif,train,ulaanbaatar,0.4362,Tree,31.5326,2.3797
kyoto_59.tif,train,kyoto,0.3446,Water,-4.0511,-34.9679
tyrolw_38.tif,train,tyrolw,0.0633,Rangeland,-41.4802,-27.0224
shanghai_52.tif,train,shanghai,0.4486,Rangeland,25.5430,-0.4091
koeln_33.tif,train,koeln,0.3485,Rangeland,38.2613,-14.9399
aachen_31.tif,train,aachen,0.3838,Water,17.7354,22.7295
tokyo_44.tif,train,tokyo,0.4672,Water,-1.1507,-35.3909
kitsap_29.tif,train,kitsap,0.0489,Developed,-36.6423,13.1988
santiago_18.tif,train,santiago,0.3522,Water,24.2795,26.9554
zanzibar_18.tif,train,zanzibar,0.2943,Developed,-23.0214,-0.6278
ngaoundere_69.tif,train,ngaoundere,0.3674,Agriculture,-13.2245,-19.4414
chiclayo_7.tif,train,chiclayo,0.4575,Water,-22.8314,27.9639
duesseldorf_22.tif,train,duesseldorf,0.3342,Road,-1.6496,41.7239
muenster_70.tif,train,muenster,0.0540,Water,-45.3820,-12.4030
christchurch_47.tif,train,christchurch,0.1561,Water,-42.9600,-9.1428
muenster_63.tif,train,muenster,0.2204,Road,-55.0665,-1.1307
vegas_23.tif,train,vegas,0.3333,Water,35.3384,18.4457
tyrolw_21.tif,train,tyrolw,0.3253,Water,18.2979,22.2117
abancay_15.tif,train,abancay,0.2890,Water,26.5047,23.1917
ngaoundere_40.tif,train,ngaoundere,0.3752,Bareland,-3.7777,-14.0694
tokyo_39.tif,train,tokyo,0.3170,Road,32.1780,-9.5534
baybay_47.tif,train,baybay,0.0830,Developed,-40.9944,-16.9058
swietokrzyskie_39.tif,train,swietokrzyskie,0.1133,Developed,-47.8339,-18.4157
shanghai_45.tif,train,shanghai,0.5789,Building,43.8511,11.5828
duesseldorf_48.tif,train,duesseldorf,0.2774,Bareland,28.0876,4.6472
chiclayo_16.tif,train,chiclayo,0.3705,Building,-54.5630,-7.2718
bielefeld_49.tif,train,bielefeld,0.3855,Developed,-16.5725,4.2727
ica_27.tif,train,ica,0.5377,Bareland,-9.1183,13.7270
lodzkie_15.tif,train,lodzkie,0.2747,Bareland,-34.2064,-18.5409
zanzibar_75.tif,train,zanzibar,0.6268,Bareland,-15.5933,24.0506
western_6.tif,train,western,0.7628,Bareland,-16.7427,23.0399
zanzibar_22.tif,train,zanzibar,0.3147,Developed,-28.6783,6.8274
sechura_5.tif,train,sechura,0.2433,Rangeland,50.0980,-4.0235
chisinau_28.tif,train,chisinau,0.2564,Rangeland,48.5883,-12.7576
rosario_9.tif,train,rosario,0.3528,Water,-28.0597,-20.8641
zanzibar_54.tif,train,zanzibar,0.2412,Rangeland,-26.5472,13.2324
melbourne_60.tif,train,melbourne,0.2738,Road,32.9282,-11.5497
svaneti_50.tif,train,svaneti,0.4089,Agriculture,-19.1648,-5.5947
dortmund_60.tif,train,dortmund,0.2581,Water,11.8269,11.3072
malopolskie_26.tif,train,malopolskie,0.1559,Road,-43.3763,-3.0547
duesseldorf_40.tif,train,duesseldorf,0.3056,Developed,-26.7605,-6.0314
lodzkie_14.tif,train,lodzkie,0.2100,Developed,-36.2317,-13.4238
rotterdam_45.tif,train,rotterdam,0.3335,Tree,29.1081,-2.6887
abancay_29.tif,train,abancay,0.3978,Agriculture,-14.1644,-17.8122
kyoto_16.tif,train,kyoto,0.4241,Water,-6.1565,-6.2365
piura_3.tif,train,piura,0.3291,Bareland,0.0115,-10.3110
coxsbazar_21.tif,train,coxsbazar,0.2973,Road,-45.9866,-5.7475
ulaanbaatar_6.tif,train,ulaanbaatar,0.4730,Agriculture,23.0177,-13.9627
chisinau_6.tif,train,chisinau,0.2218,Rangeland,49.1514,-6.1651
zanzibar_78.tif,train,zanzibar,0.3758,Bareland,11.1274,-14.2452
sechura_3.tif,train,sechura,0.1928,Rangeland,55.3389,-7.4656
rio_32.tif,train,rio,0.3132,Developed,-15.9595,3.2691
coxsbazar_71.tif,train,coxsbazar,0.1271,Developed,-26.9584,-9.2862
chincha_48.tif,train,chincha,0.2410,Water,25.7195,16.5735
zanzibar_26.tif,train,zanzibar,0.2895,Developed,-22.4807,0.2874
aachen_37.tif,train,aachen,0.2079,Tree,-36.0277,-23.0294
zanzibar_131.tif,train,zanzibar,0.2148,Bareland,6.5497,-10.3145
zanzibar_85.tif,train,zanzibar,0.5075,Road,9.1711,-17.0773
viru_33.tif,train,viru,0.1364,Rangeland,-43.0109,-26.3172
zanzibar_118.tif,train,zanzibar,0.2235,Road,8.8551,-12.7040
kyoto_37.tif,train,kyoto,0.1582,Agriculture,-40.1462,11.4584
ica_34.tif,train,ica,0.2496,Rangeland,48.7318,-2.4133
rotterdam_9.tif,train,rotterdam,0.4768,Water,22.1364,27.3989
viru_21.tif,train,viru,0.2442,Water,-15.2684,-38.8631
abancay_50.tif,train,abancay,0.3137,Tree,21.8788,-9.4536
tokyo_20.tif,train,tokyo,0.3953,Agriculture,1.3106,-37.2457
khartoum_20.tif,train,khartoum,0.4035,Developed,59.2005,9.7114
