filename,split,entropy_pseudo,entropy_gt,entropy_diff
svaneti_60.tif,train,0.3472,0.3114,0.0357
kagera_31.tif,train,1.0382,1.1056,-0.0674
ica_35.tif,train,1.0730,1.1454,-0.0724
lohur_24.tif,train,0.9859,1.1626,-0.1766
daressalaam_72.tif,train,0.9650,1.2158,-0.2508
tonga_32.tif,train,0.9560,0.7374,0.2186
lodzkie_9.tif,train,0.6956,0.3588,0.3368
western_24.tif,train,1.1372,0.9844,0.1528
aachen_56.tif,train,1.4645,1.4377,0.0268
ica_12.tif,train,0.5360,0.7576,-0.2216
malopolskie_19.tif,train,0.7401,0.5479,0.1922
mahe_31.tif,train,1.2546,1.2769,-0.0224
accra_57.tif,train,0.4671,0.6755,-0.2084
paris_52.tif,train,1.3310,1.4612,-0.1302
kampala_5.tif,train,1.0698,1.1446,-0.0749
shanghai_25.tif,train,0.7703,0.3941,0.3762
vegas_44.tif,train,0.7848,0.7406,0.0442
duesseldorf_55.tif,train,1.5011,1.4709,0.0302
kagera_57.tif,train,0.7882,1.0492,-0.2611
bielefeld_43.tif,train,1.3412,1.4602,-0.1190
paris_11.tif,train,1.3801,1.4796,-0.0995
mahe_12.tif,train,0.4420,0.4006,0.0414
chisinau_56.tif,train,1.1395,1.1668,-0.0274
ulaanbaatar_43.tif,train,0.9294,1.1059,-0.1765
lodzkie_17.tif,train,0.4625,0.1614,0.3011
kagera_30.tif,train,1.2358,1.3342,-0.0984
zachodniopomorskie_8.tif,train,0.0824,0.2486,-0.1662
slaskie_36.tif,train,0.5115,0.5977,-0.0862
santiago_41.tif,train,1.1485,1.3157,-0.1672
lubuskie_5.tif,train,0.3649,0.4498,-0.0849
vienna_70.tif,train,1.0992,1.1004,-0.0012
tokyo_49.tif,train,1.2830,1.2568,0.0262
sechura_32.tif,train,1.0274,1.1046,-0.0771
kyoto_63.tif,train,1.2542,1.4591,-0.2049
austin_43.tif,train,1.3938,1.4816,-0.0877
lima_46.tif,train,0.7805,0.6638,0.1167
malopolskie_30.tif,train,0.5893,0.4897,0.0996
wielkopolskie_22.tif,train,1.0500,1.1558,-0.1058
vienna_13.tif,train,0.9167,0.8752,0.0415
monrovia_38.tif,train,1.3703,1.4416,-0.0713
zanzibar_27.tif,train,0.7549,0.7720,-0.0171
muenster_7.tif,train,0.5225,0.5415,-0.0190
monrovia_22.tif,train,0.6605,0.6851,-0.0246
aachen_4.tif,train,1.0579,1.0324,0.0255
zanzibar_130.tif,train,0.5824,0.5206,0.0618
dowa_10.tif,train,1.0375,1.0608,-0.0233
tokyo_70.tif,train,1.6149,1.9354,-0.3204
muenster_5.tif,train,1.7445,1.8760,-0.1315
shanghai_29.tif,train,0.7701,0.6107,0.1594
slaskie_17.tif,train,0.2171,0.2111,0.0060
tyrolw_60.tif,train,0.5456,0.5640,-0.0184
muenster_62.tif,train,0.9803,0.9485,0.0317
ulaanbaatar_3.tif,train,0.8823,1.2511,-0.3688
duesseldorf_11.tif,train,1.6312,1.7339,-0.1027
kitsap_27.tif,train,1.3468,1.5477,-0.2009
ica_19.tif,train,1.0059,1.1455,-0.1396
christchurch_3.tif,train,0.3098,0.3170,-0.0073
sechura_21.tif,train,0.5929,0.7716,-0.1787
lohur_5.tif,train,1.1278,1.2000,-0.0722
baybay_66.tif,train,1.1732,1.2145,-0.0413
piura_31.tif,train,1.1931,1.2702,-0.0772
shanghai_30.tif,train,0.7507,1.0236,-0.2729
shanghai_32.tif,train,0.9749,0.7632,0.2117
mahe_40.tif,train,0.2949,0.3702,-0.0753
tokyo_29.tif,train,1.0643,1.0769,-0.0126
chincha_5.tif,train,1.0324,1.0988,-0.0663
mahe_44.tif,train,1.0799,1.1351,-0.0552
abancay_22.tif,train,1.3335,1.3201,0.0135
tokyo_17.tif,train,1.2493,1.1706,0.0787
malopolskie_33.tif,train,0.6960,0.4302,0.2658
ulaanbaatar_36.tif,train,0.9305,1.2341,-0.3037
kyoto_59.tif,train,1.1994,1.3797,-0.1803
tyrolw_38.tif,train,0.2362,0.2830,-0.0469
shanghai_52.tif,train,1.0542,1.6375,-0.5834
koeln_33.tif,train,1.2061,1.4569,-0.2508
aachen_31.tif,train,1.4476,1.6756,-0.2280
tokyo_44.tif,train,1.4544,1.5616,-0.1072
kitsap_29.tif,train,0.1902,0.1622,0.0280
santiago_18.tif,train,1.3632,1.5318,-0.1685
zanzibar_18.tif,train,0.8521,0.9278,-0.0756
ngaoundere_69.tif,train,1.2377,1.1685,0.0692
chiclayo_7.tif,train,0.9099,0.9182,-0.0083
duesseldorf_22.tif,train,1.5044,1.6126,-0.1082
muenster_70.tif,train,0.3143,0.3004,0.0139
christchurch_47.tif,train,0.3762,0.2615,0.1147
muenster_63.tif,train,0.4692,0.3626,0.1066
vegas_23.tif,train,1.2586,1.4485,-0.1899
tyrolw_21.tif,train,1.3135,1.4027,-0.0892
abancay_15.tif,train,1.2896,1.4101,-0.1205
ngaoundere_40.tif,train,1.0223,1.3758,-0.3534
tokyo_39.tif,train,1.2892,1.3474,-0.0582
baybay_47.tif,train,0.3798,0.4449,-0.0651
swietokrzyskie_39.tif,train,0.2614,0.4041,-0.1426
shanghai_45.tif,train,0.4969,0.7134,-0.2165
duesseldorf_48.tif,train,1.3555,1.5070,-0.1514
chiclayo_16.tif,train,0.5150,0.6140,-0.0990
bielefeld_49.tif,train,0.5540,0.8549,-0.3008
ica_27.tif,train,0.6488,0.8571,-0.2083
lodzkie_15.tif,train,0.8728,0.7819,0.0909
zanzibar_75.tif,train,0.5686,0.3675,0.2011
western_6.tif,train,0.8919,0.9842,-0.0923
zanzibar_22.tif,train,0.9405,0.7268,0.2137
sechura_5.tif,train,1.1286,1.0142,0.1143
chisinau_28.tif,train,1.1729,1.2868,-0.1140
rosario_9.tif,train,0.8033,0.8697,-0.0664
zanzibar_54.tif,train,0.7768,0.5809,0.1959
melbourne_60.tif,train,0.9806,1.1161,-0.1355
svaneti_50.tif,train,0.6304,0.9821,-0.3517
dortmund_60.tif,train,1.4790,1.5393,-0.0604
malopolskie_26.tif,train,0.4846,0.5153,-0.0307
duesseldorf_40.tif,train,0.7190,0.9660,-0.2470
lodzkie_14.tif,train,0.4967,0.2957,0.2010
rotterdam_45.tif,train,1.1138,0.9256,0.1882
abancay_29.tif,train,1.0474,0.9669,0.0805
kyoto_16.tif,train,1.3025,1.3388,-0.0362
piura_3.tif,train,0.9956,1.0140,-0.0183
coxsbazar_21.tif,train,0.8547,0.8399,0.0148
ulaanbaatar_6.tif,train,1.0032,0.9121,0.0912
chisinau_6.tif,train,1.0039,0.9373,0.0666
zanzibar_78.tif,train,0.5510,1.0243,-0.4733
sechura_3.tif,train,0.9335,0.8966,0.0369
rio_32.tif,train,1.2181,1.2708,-0.0527
coxsbazar_71.tif,train,0.4027,0.4499,-0.0472
chincha_48.tif,train,1.0128,0.9641,0.0488
zanzibar_26.tif,train,0.8678,0.9865,-0.1187
aachen_37.tif,train,0.8737,1.0577,-0.1840
zanzibar_131.tif,train,1.0110,1.0985,-0.0874
zanzibar_85.tif,train,0.2251,0.9661,-0.7411
viru_33.tif,train,0.6548,0.7646,-0.1099
zanzibar_118.tif,train,0.6571,0.9213,-0.2642
kyoto_37.tif,train,0.6186,0.5138,0.1048
ica_34.tif,train,1.1440,1.2375,-0.0935
rotterdam_9.tif,train,1.5847,1.7298,-0.1451
viru_21.tif,train,1.1494,1.1541,-0.0047
abancay_50.tif,train,1.2094,1.3580,-0.1486
tokyo_20.tif,train,1.2747,1.6340,-0.3593
khartoum_20.tif,train,1.0623,1.1973,-0.1350
melbourne_25.tif,train,1.3450,1.2612,0.0838
muenster_14.tif,train,1.7732,1.8943,-0.1211
swietokrzyskie_23.tif,train,0.5860,0.6647,-0.0788
lohur_34.tif,train,0.4027,0.5436,-0.1409
baybay_58.tif,train,0.4773,0.8047,-0.3273
paris_38.tif,train,0.6405,1.1098,-0.4693
khartoum_21.tif,train,0.5482,0.5180,0.0302
svaneti_45.tif,train,0.5685,0.5899,-0.0214
paris_70.tif,train,1.4771,1.5303,-0.0531
chisinau_66.tif,train,0.9743,1.0385,-0.0642
kitsap_26.tif,train,1.2946,1.5522,-0.2576
