filename,split,Bareland_gt_reg,Bareland_ps_reg,Rangeland_gt_reg,Rangeland_ps_reg,Developed_gt_reg,Developed_ps_reg,Road_gt_reg,Road_ps_reg,Tree_gt_reg,Tree_ps_reg,Water_gt_reg,Water_ps_reg,Agriculture_gt_reg,Agriculture_ps_reg,Building_gt_reg,Building_ps_reg,gt_regions,ps_regions,frag_ratio
svaneti_60.tif,train,0,0,7,42,10,113,0,0,134,74,0,6,5,9,0,1,156,245,1.57
kagera_31.tif,train,0,0,123,223,50,284,0,17,431,163,0,4,34,47,45,57,683,795,1.16
ica_35.tif,train,0,0,81,32,522,246,4,32,159,73,1,0,0,0,67,73,834,456,0.55
lohur_24.tif,train,0,0,310,138,162,239,1,40,172,82,12,7,24,40,51,42,732,588,0.80
daressalaam_72.tif,train,0,1,385,154,198,308,4,22,274,182,0,0,6,7,85,58,952,732,0.77
tonga_32.tif,train,0,4,56,217,39,225,2,8,70,212,4,22,0,9,43,50,214,747,3.49
lodzkie_9.tif,train,0,0,13,107,2,28,1,12,23,38,0,2,10,31,9,10,58,228,3.93
western_24.tif,train,53,117,84,279,21,97,1,7,213,115,40,136,0,0,0,8,412,759,1.84
aachen_56.tif,train,0,0,320,183,114,303,4,44,154,158,0,0,0,1,247,167,839,856,1.02
ica_12.tif,train,10,1,61,31,36,27,2,7,164,78,0,0,2,0,135,120,410,264,0.64
malopolskie_19.tif,train,0,0,45,70,19,103,1,3,101,12,0,3,15,29,14,39,195,259,1.33
mahe_31.tif,train,0,4,300,334,94,208,5,41,455,334,0,8,0,0,70,81,924,1010,1.09
accra_57.tif,train,0,0,32,44,11,17,1,3,53,32,130,36,0,63,0,1,227,196,0.86
paris_52.tif,train,0,0,45,76,88,84,4,9,194,25,2,0,0,8,56,67,389,269,0.69
kampala_5.tif,train,0,0,189,135,181,222,2,37,106,153,4,11,0,2,108,100,590,660,1.12
shanghai_25.tif,train,0,0,0,106,9,33,3,8,8,1,0,31,0,1,12,28,32,208,6.50
vegas_44.tif,train,0,0,33,47,17,29,3,15,80,18,0,0,0,0,1,1,134,110,0.82
duesseldorf_55.tif,train,0,0,167,233,219,321,4,48,344,210,14,0,7,10,154,138,909,960,1.06
kagera_57.tif,train,0,0,174,178,33,81,1,12,217,74,0,7,8,6,23,44,456,402,0.88
bielefeld_43.tif,train,0,0,275,381,324,387,2,35,401,173,9,0,0,0,147,158,1158,1134,0.98
paris_11.tif,train,0,0,46,68,92,80,3,9,52,30,0,1,0,8,54,48,247,244,0.99
mahe_12.tif,train,9,0,63,96,33,38,1,16,48,57,3,15,0,7,15,23,172,252,1.47
chisinau_56.tif,train,0,0,40,12,115,108,10,62,133,145,1,0,0,0,43,71,342,398,1.16
ulaanbaatar_43.tif,train,1,0,198,176,93,52,3,55,29,84,3,3,0,14,185,138,512,522,1.02
lodzkie_17.tif,train,0,0,4,51,5,46,1,23,13,48,0,4,6,11,7,8,36,191,5.31
kagera_30.tif,train,0,0,152,256,85,348,5,24,488,221,1,3,28,16,71,77,830,945,1.14
zachodniopomorskie_8.tif,train,0,0,20,22,6,6,2,1,11,2,3,8,0,0,3,1,45,40,0.89
slaskie_36.tif,train,0,0,29,23,1,83,6,25,194,96,3,4,0,1,28,24,261,256,0.98
santiago_41.tif,train,0,0,340,46,198,223,1,5,154,57,0,0,0,0,42,88,735,419,0.57
lubuskie_5.tif,train,0,0,53,68,3,3,1,20,14,27,0,1,0,14,1,1,72,134,1.86
vienna_70.tif,train,0,0,77,70,105,172,3,57,108,32,0,2,0,0,35,45,328,378,1.15
tokyo_49.tif,train,0,0,5,314,90,136,1,109,194,117,0,0,15,14,227,143,532,833,1.57
sechura_32.tif,train,11,0,69,103,217,90,1,18,326,139,2,6,0,0,44,82,670,438,0.65
kyoto_63.tif,train,0,0,125,165,262,165,2,86,291,207,3,0,29,36,147,185,859,844,0.98
austin_43.tif,train,0,0,143,244,483,298,11,19,266,102,1,0,0,0,89,94,993,757,0.76
lima_46.tif,train,6,6,0,130,32,77,3,26,284,2,1,19,0,56,11,13,337,329,0.98
malopolskie_30.tif,train,0,0,17,86,6,22,1,17,9,14,1,23,10,22,2,9,46,193,4.20
wielkopolskie_22.tif,train,0,0,118,93,90,167,3,16,154,69,1,1,0,0,60,70,426,416,0.98
vienna_13.tif,train,0,0,65,72,77,114,2,32,77,43,0,0,0,3,26,42,247,306,1.24
monrovia_38.tif,train,0,0,311,164,100,179,4,26,132,136,0,31,0,2,118,112,665,650,0.98
zanzibar_27.tif,train,0,0,100,178,37,89,0,11,148,106,0,3,24,24,7,24,316,435,1.38
muenster_7.tif,train,0,0,48,95,5,14,5,24,66,24,0,12,23,6,10,12,157,187,1.19
monrovia_22.tif,train,0,11,95,114,13,86,0,15,131,53,534,46,0,1,8,7,781,333,0.43
aachen_4.tif,train,1,0,93,116,66,105,6,48,55,54,2,0,0,8,24,30,247,361,1.46
zanzibar_130.tif,train,0,12,27,87,31,94,5,4,565,282,0,20,0,28,73,30,701,557,0.79
dowa_10.tif,train,0,0,27,1,80,138,1,29,40,9,11,0,0,0,357,225,516,402,0.78
tokyo_70.tif,train,0,0,490,474,648,316,15,125,578,192,25,0,11,2,817,260,2584,1369,0.53
muenster_5.tif,train,0,0,835,452,1080,637,35,85,598,315,2,0,0,1,276,225,2826,1715,0.61
shanghai_29.tif,train,0,0,4,23,23,84,0,7,13,7,0,12,0,34,31,32,71,199,2.80
slaskie_17.tif,train,0,0,15,31,2,8,0,6,18,14,0,0,0,3,3,2,38,64,1.68
tyrolw_60.tif,train,0,0,34,86,10,32,3,26,41,35,0,3,2,3,11,19,101,204,2.02
muenster_62.tif,train,0,0,218,314,90,291,10,32,192,152,3,4,9,14,84,78,606,885,1.46
