metric,train,val,test,overall
num_images,1751,218,220,2189
total_pixels,1688350342,213059367,216179804,2117589513
correct_pixels,1182470391,149791838,152097900,1484360129
noisy_pixels,505879951,63267529,64081904,633229384
pixel_accuracy,0.7004,0.7031,0.7036,0.7010
noise_ratio,0.2996,0.2969,0.2964,0.2990
mIoU,0.4889,0.4964,0.5030,0.4917
mean_precision,0.6732,0.6570,0.6870,0.6729
mean_recall,0.6209,0.6231,0.6257,0.6223
edge_error_rate,,,,0.5435
non_edge_error_rate,,,,0.2678
edge_total_pixels,,,,239544055
non_edge_total_pixels,,,,1878045458
noise_ratio_mean,,,,0.3052
noise_ratio_std,,,,0.1293
noise_ratio_min,,,,0.0086
noise_ratio_max,,,,0.9843
noise_ratio_median,,,,0.2895
mIoU_mean,,,,0.3947
mIoU_std,,,,0.1046
mIoU_min,,,,0.0447
mIoU_max,,,,0.7762
