filename,split,img_height,img_width,total_valid_pixels,correct_pixels,noisy_pixels,accuracy,noise_ratio,mIoU,mean_precision,mean_recall,most_misclassified_class_id,most_misclassified_class_name,edge_error_pixels,non_edge_error_pixels,edge_total_pixels,edge_error_rate,non_edge_error_rate,Barren_gt_pixels,Barren_pred_pixels,Barren_iou,Barren_precision,Barren_recall,Barren_tp,Barren_fp,Barren_fn,Rangeland_gt_pixels,Rangeland_pred_pixels,Rangeland_iou,Rangeland_precision,Rangeland_recall,Rangeland_tp,Rangeland_fp,Rangeland_fn,Developed_gt_pixels,Developed_pred_pixels,Developed_iou,Developed_precision,Developed_recall,Developed_tp,Developed_fp,Developed_fn,Road_gt_pixels,Road_pred_pixels,Road_iou,Road_precision,Road_recall,Road_tp,Road_fp,Road_fn,Tree_gt_pixels,Tree_pred_pixels,Tree_iou,Tree_precision,Tree_recall,Tree_tp,Tree_fp,Tree_fn,Water_gt_pixels,Water_pred_pixels,Water_iou,Water_precision,Water_recall,Water_tp,Water_fp,Water_fn,Agriculture_gt_pixels,Agriculture_pred_pixels,Agriculture_iou,Agriculture_precision,Agriculture_recall,Agriculture_tp,Agriculture_fp,Agriculture_fn,Building_gt_pixels,Building_pred_pixels,Building_iou,Building_precision,Building_recall,Building_tp,Building_fp,Building_fn,confusion_rank1_gt,confusion_rank1_pred,confusion_rank1_pixels,confusion_rank2_gt,confusion_rank2_pred,confusion_rank2_pixels,confusion_rank3_gt,confusion_rank3_pred,confusion_rank3_pixels
svaneti_60.tif,train,1024,1024,999950,879184,120766,0.8792,0.1208,0.3269,0.4143,0.6969,1,Rangeland,17322,103444,34002,0.5094,0.1071,0,0,N/A,N/A,N/A,0,0,0,867323,842287,0.8783,0.9491,0.9217,799424,42863,67899,12262,49695,0.1576,0.1698,0.6880,8436,41259,3826,0,0,N/A,N/A,N/A,0,0,0,51461,42607,0.4466,0.6816,0.5643,29042,13565,22419,0,3613,0.0000,0.0000,N/A,0,3613,0,68904,61714,0.4786,0.6851,0.6136,42282,19432,26622,0,34,0.0000,0.0000,N/A,0,34,0,Rangeland,Developed,33543,Tree,Rangeland,20603,Rangeland,Agriculture,19432
kagera_31.tif,train,1024,1024,1033496,647433,386063,0.6264,0.3736,0.3128,0.4254,0.5786,1,Rangeland,77634,308429,137434,0.5649,0.3442,0,0,N/A,N/A,N/A,0,0,0,318816,336926,0.3566,0.5116,0.5406,172359,164567,146457,36235,28879,0.0838,0.1744,0.1390,5037,23842,31198,0,2761,0.0000,0.0000,N/A,0,2761,0,357191,452930,0.5585,0.6410,0.8128,290326,162604,66865,0,22,0.0000,0.0000,N/A,0,22,0,282500,168407,0.4759,0.8633,0.5146,145387,23020,137113,38754,43571,0.7151,0.7878,0.8857,34324,9247,4430,Rangeland,Tree,112517,Agriculture,Rangeland,86584,Tree,Rangeland,55514
ica_35.tif,train,1024,1024,1048576,736918,311658,0.7028,0.2972,0.3771,0.6060,0.4847,7,Building,67505,244153,137953,0.4893,0.2681,0,0,N/A,N/A,N/A,0,0,0,8537,1898,0.0352,0.1870,0.0416,355,1543,8182,278900,380416,0.3859,0.4826,0.6583,183593,196823,95307,123514,134083,0.5557,0.6862,0.7449,92009,42074,31505,23861,19277,0.5628,0.8059,0.6511,15535,3742,8326,65400,0,0.0000,N/A,0.0000,0,0,65400,0,0,N/A,N/A,N/A,0,0,0,548364,512902,0.7233,0.8684,0.8123,445426,67476,102938,Building,Developed,99402,Developed,Building,65829,Water,Developed,54385
lohur_24.tif,train,1024,1024,1048534,832706,215828,0.7942,0.2058,0.6019,0.7954,0.7092,2,Developed,75417,140411,144550,0.5217,0.1553,0,0,N/A,N/A,N/A,0,0,0,295518,315019,0.6605,0.7709,0.8218,242857,72162,52661,190983,194974,0.4810,0.6429,0.6564,125355,69619,65628,68195,47878,0.4644,0.7688,0.5398,36809,11069,31386,70065,43646,0.4940,0.8615,0.5366,37600,6046,32465,22795,19824,0.5281,0.7429,0.6461,14728,5096,8067,334137,368162,0.8459,0.8742,0.9632,321840,46322,12297,66841,59031,0.7396,0.9066,0.8007,53517,5514,13324,Developed,Rangeland,35386,Road,Developed,29177,Rangeland,Agriculture,26875
daressalaam_72.tif,train,1024,1024,1048576,814405,234171,0.7767,0.2233,0.4766,0.6470,0.6683,2,Developed,82622,151549,161683,0.5110,0.1709,0,124,0.0000,0.0000,N/A,0,124,0,424555,489107,0.7089,0.7749,0.8928,379024,110083,45531,190203,142041,0.4453,0.7207,0.5382,102367,39674,87836,48262,39174,0.5707,0.8110,0.6583,31769,7405,16493,229047,230663,0.6523,0.7868,0.7924,181492,49171,47555,0,0,N/A,N/A,N/A,0,0,0,26311,11321,0.2231,0.6063,0.2609,6864,4457,19447,130198,136146,0.7356,0.8292,0.8671,112889,23257,17309,Developed,Rangeland,50290,Tree,Rangeland,39612,Rangeland,Tree,30922
tonga_32.tif,train,1024,1024,1048576,691918,356658,0.6599,0.3401,0.3695,0.4732,0.7808,1,Rangeland,42377,314281,77832,0.5445,0.3238,0,285,0.0000,0.0000,N/A,0,285,0,611322,375693,0.4999,0.8756,0.5381,328959,46734,282363,174687,258114,0.6289,0.6474,0.9565,167094,91020,7593,10534,8467,0.5407,0.7875,0.6330,6668,1799,3866,169887,248176,0.3863,0.4694,0.6857,116490,131686,53397,8258,80057,0.1030,0.1031,0.9990,8250,71807,8,0,6404,0.0000,0.0000,N/A,0,6404,0,73888,71380,0.7976,0.9030,0.8724,64457,6923,9431,Rangeland,Tree,130874,Rangeland,Developed,77674,Rangeland,Water,62629
lodzkie_9.tif,train,1024,1024,1048576,770141,278435,0.7345,0.2655,0.4606,0.5588,0.7751,6,Agriculture,13906,264529,27497,0.5057,0.2591,0,0,N/A,N/A,N/A,0,0,0,102329,133824,0.3812,0.4871,0.6370,65182,68642,37147,11061,15464,0.4856,0.5607,0.7838,8670,6794,2391,14437,17251,0.6155,0.6998,0.8363,12073,5178,2364,113283,267923,0.3493,0.3683,0.8711,98684,169239,14599,0,54,0.0000,0.0000,N/A,0,54,0,788289,595787,0.7006,0.9571,0.7234,570213,25574,218076,19177,18273,0.6922,0.8383,0.7988,15319,2954,3858,Agriculture,Tree,153711,Agriculture,Rangeland,62259,Rangeland,Agriculture,15151
western_24.tif,train,1024,1024,1036206,267962,768244,0.2586,0.7414,0.1465,0.3834,0.4709,1,Rangeland,71714,696530,101597,0.7059,0.7453,151739,94276,0.2372,0.5003,0.3108,47166,47110,104573,587208,130449,0.1980,0.9094,0.2020,118631,11818,468577,19466,424983,0.0438,0.0439,0.9585,18658,406325,808,11035,4861,0.2771,0.7095,0.3126,3449,1412,7586,62788,316783,0.1835,0.1858,0.9373,58852,257931,3936,203970,63287,0.0862,0.3351,0.1040,21206,42081,182764,0,0,N/A,N/A,N/A,0,0,0,0,1567,0.0000,0.0000,N/A,0,1567,0,Rangeland,Tree,256066,Water,Developed,163294,Rangeland,Developed,132607
aachen_56.tif,train,1000,1000,1000000,662378,337622,0.6624,0.3376,0.3923,0.5308,0.6671,1,Rangeland,95950,241672,175777,0.5459,0.2932,0,0,N/A,N/A,N/A,0,0,0,425680,266716,0.5012,0.8668,0.5431,231180,35536,194500,169212,252211,0.3654,0.4472,0.6665,112786,139425,56426,79638,65488,0.4862,0.7249,0.5961,47475,18013,32163,62892,96897,0.3470,0.4248,0.6544,41159,55738,21733,0,0,N/A,N/A,N/A,0,0,0,0,78,0.0000,0.0000,N/A,0,78,0,262578,318610,0.6539,0.7212,0.8751,229778,88832,32800,Rangeland,Developed,82550,Rangeland,Building,57914,Rangeland,Tree,50334
ica_12.tif,train,1024,1024,1048576,713625,334951,0.6806,0.3194,0.3775,0.7520,0.4862,0,Barren,38482,296469,83316,0.4619,0.3071,218482,8,0.0000,1.0000,0.0000,8,0,218474,18494,13974,0.3257,0.5708,0.4313,7976,5998,10518,606348,867695,0.6376,0.6614,0.9465,573917,293778,32431,27174,27389,0.4689,0.6359,0.6409,17417,9972,9757,67731,63951,0.7100,0.8550,0.8073,54676,9275,13055,0,0,N/A,N/A,N/A,0,0,0,7128,0,0.0000,N/A,0.0000,0,0,7128,103219,75559,0.5005,0.7892,0.5777,59631,15928,43588,Barren,Developed,214625,Building,Developed,43372,Developed,Building,15762
